stage,macro_pr_auc,macro_f1,mcc,macro_precision,macro_recall,log_loss
raw,0.6112659420976242,0.5828517165792334,0.42980478514120696,0.5899741618998373,0.5790173631596002,0.7884151439489413
adjusted,0.6114769241420269,0.5891596636121911,0.4311975713512274,0.5954076176632577,0.5858418730906728,0.7927822521952291
