iter	Logloss
0	0.5661888153
1	0.4678713427
2	0.4160190065
3	0.3860280926
4	0.3509116765
5	0.331298695
6	0.3151381956
7	0.2964826045
8	0.2854108086
9	0.2770810233
10	0.2696992769
11	0.2640993832
12	0.2584201837
13	0.2533590042
14	0.2487560301
15	0.2430475233
16	0.2365248431
17	0.2330731817
18	0.2283110315
19	0.2241499977
20	0.2205930613
21	0.2104236862
22	0.2090174021
23	0.2046494883
24	0.2019585548
25	0.1996711094
26	0.1982844787
27	0.1960727736
28	0.1929542203
29	0.190210978
30	0.1875978954
31	0.1862565137
32	0.1843684563
33	0.1803191231
34	0.1787708568
35	0.1761172722
36	0.1730660146
37	0.1711408269
38	0.1699811575
39	0.168432521
40	0.1631409503
41	0.1619976696
42	0.1603867299
43	0.159071606
44	0.1561079998
45	0.1549715589
46	0.1533224225
47	0.1525278703
48	0.1505499081
49	0.1497380862
50	0.1470006777
51	0.1454964594
52	0.144137201
53	0.1430654016
54	0.1426177875
55	0.1415887706
56	0.1407923027
57	0.1399450179
58	0.138843911
59	0.1377408244
60	0.1364983587
61	0.1354440008
62	0.1327046609
63	0.1304544088
64	0.1286865828
65	0.1276636438
66	0.1268510685
67	0.1254795205
68	0.1248033363
69	0.1242393816
70	0.1235041293
71	0.1229551681
72	0.1211471323
73	0.1206311703
74	0.1196943148
75	0.1183880807
76	0.1181190522
77	0.1167449353
78	0.1160412172
79	0.1151016319
80	0.1144965787
81	0.1140874486
82	0.1134116814
83	0.1130007931
84	0.1122267267
85	0.1114537578
86	0.1109242878
87	0.1103290644
88	0.1087835849
89	0.1079363997
90	0.1074056372
91	0.1067380797
92	0.1062743658
93	0.1058009803
94	0.1047989527
95	0.1040258055
96	0.1033946693
97	0.1026565721
98	0.1023012867
99	0.1018793364
100	0.10125773
101	0.1006981942
102	0.09984740269
103	0.0992779909
104	0.09897541761
105	0.09838040784
106	0.09782237495
107	0.09738298788
108	0.09684881388
109	0.09655058518
110	0.09629666964
111	0.09571327565
112	0.09526106024
113	0.09484575862
114	0.09445517667
115	0.09397253518
116	0.09365330069
117	0.09234998891
118	0.09144395594
119	0.09096407385
120	0.09015390171
121	0.08968495859
122	0.08931180783
123	0.08895567444
124	0.08841207997
125	0.08804857589
126	0.08774484688
127	0.08727016431
128	0.08665512827
129	0.08641273717
130	0.08608093307
131	0.08573854458
132	0.08426864198
133	0.08326893896
134	0.08293856472
135	0.08239040972
136	0.08179895454
137	0.08107153775
138	0.08052429513
139	0.08030131817
140	0.07980585015
141	0.07920059832
142	0.07880734881
143	0.07826491256
144	0.078124327
145	0.0774967727
146	0.07711718367
147	0.07652202949
148	0.07576174983
149	0.07536039176
150	0.07506174797
151	0.07452216138
152	0.07404281759
153	0.07334557241
154	0.07291684041
155	0.07236084971
156	0.07126338344
157	0.07086660222
158	0.0701833885
159	0.06984040437
160	0.06834229036
161	0.06784920265
162	0.06765790241
163	0.06712746973
164	0.0667932475
165	0.06619434646
166	0.06587217864
167	0.0643684889
168	0.0641833677
169	0.06383026206
170	0.06362168689
171	0.06335023478
172	0.06293981268
173	0.06273979767
174	0.06240501979
175	0.06148959469
176	0.06133399048
177	0.06105729267
178	0.06087709007
179	0.06034222752
180	0.05989707428
181	0.05969400486
182	0.05937532572
183	0.05913481793
184	0.05887216965
185	0.05857460639
186	0.05815261218
187	0.05795331329
188	0.05779017501
189	0.057578492
190	0.05728730499
191	0.05700409375
192	0.05673159741
193	0.05631441543
194	0.05605582659
195	0.05586080399
196	0.05567481569
197	0.05533731737
198	0.05519302737
199	0.05485686068
200	0.05462756163
201	0.05444834169
202	0.05412769375
203	0.05376543495
204	0.05369750251
205	0.05336625338
206	0.05314497382
207	0.05289498458
208	0.05279309957
209	0.05230654884
210	0.05196793933
211	0.05187340383
212	0.05158116783
213	0.05137668788
214	0.05089819516
215	0.05058356546
216	0.05040500851
217	0.05011183622
218	0.04984657021
219	0.04975715958
220	0.04943274028
221	0.0492861703
222	0.04902020413
223	0.04877653668
224	0.04840617073
225	0.04826914486
226	0.04814689511
227	0.04794604273
228	0.04759936427
229	0.04733636315
230	0.04714969679
231	0.04703699875
232	0.04658361154
233	0.04593064507
234	0.04562058131
235	0.04539936699
236	0.0450054643
237	0.04473401321
238	0.0445308719
239	0.04418962272
240	0.04403976492
241	0.04397762873
242	0.04389697392
243	0.04379022622
244	0.04350867969
245	0.04335303419
246	0.04310320436
247	0.04290989694
248	0.04270443031
249	0.04258274598
250	0.04245165139
251	0.04218316456
252	0.04182352221
253	0.04129262947
254	0.04109958318
255	0.04093469773
256	0.04079457988
257	0.04053322244
258	0.0402483682
259	0.04008259418
260	0.03990133146
261	0.03976051942
262	0.03962855538
263	0.03955602539
264	0.03934881221
265	0.0392721075
266	0.0391882461
267	0.03900435072
268	0.03887666694
269	0.03872376826
270	0.03861249446
271	0.03838119598
272	0.03813753238
273	0.0379258855
274	0.03771268452
275	0.03762281735
276	0.03746720853
277	0.03723219222
278	0.0370629188
279	0.03676453978
280	0.03667376353
281	0.0366070642
