iter	TotalF1	MultiClass
97	0.5930580482	0.8950576814
98	0.592467779	0.8943610062
99	0.5939752339	0.8938582047
100	0.5935408819	0.8930683756
101	0.5934231302	0.8928541719
102	0.5946953174	0.8925545816
103	0.594756952	0.8921056678
104	0.5935468154	0.8913575502
105	0.5941821281	0.8903447935
106	0.5948993124	0.8900544698
107	0.5947082226	0.8896673964
108	0.5956391742	0.8891727622
109	0.5955048871	0.8886200047
110	0.595782039	0.8879478019
111	0.596455929	0.8875886099
112	0.5974258651	0.8871794574
113	0.5974660464	0.8868301268
114	0.5954388483	0.8860172767
115	0.5952763054	0.8856247467
116	0.5953777081	0.8851712072
117	0.5963255113	0.8848131133
118	0.5961978275	0.884571918
119	0.5967834094	0.8841494615
120	0.5954193935	0.8838277743
121	0.5958915463	0.8834352834
122	0.5969750606	0.8830426978
123	0.5981423295	0.8828050517
124	0.5982833484	0.8820457746
125	0.5979852019	0.8816756047
126	0.5968025615	0.8808951322
127	0.5971296981	0.8805712045
128	0.5971288474	0.8801441347
129	0.5976587564	0.8800050242
130	0.5979614772	0.8795676983
131	0.5983806399	0.8790922182
132	0.5985820331	0.878587931
133	0.5986995846	0.8784848816
134	0.5996708677	0.8782301412
135	0.5998810463	0.8777675606
136	0.6004388399	0.8775232745
137	0.601046903	0.8769910244
138	0.6000920475	0.8765304427
139	0.5999748092	0.8762839372
140	0.6014872411	0.8756306145
141	0.6024227353	0.8752559948
142	0.6024095465	0.8749397171
143	0.6019664316	0.8747074109
144	0.6026494168	0.8745653433
145	0.6032307772	0.8741680182
146	0.6046913173	0.8732398096
147	0.6051748653	0.8731778578
148	0.6049804834	0.8728446033
149	0.6050350024	0.8723552584
150	0.6056617834	0.8721817641
151	0.6054686767	0.8720986033
152	0.6052597449	0.8717886372
153	0.6051744011	0.8714367223
154	0.6050379487	0.8712831892
155	0.6049092553	0.8705739242
156	0.605467752	0.8705014478
157	0.604191938	0.8701710343
158	0.6054537068	0.8696447317
159	0.6049848693	0.8692686888
160	0.6066200025	0.8688910846
161	0.6063341691	0.8685752916
162	0.6075365132	0.8683055968
163	0.6071717577	0.8679795715
164	0.6085709524	0.8675487354
165	0.6091664696	0.8671390325
166	0.6086900665	0.8665492653
167	0.608886193	0.8658640922
168	0.6103469692	0.865444169
169	0.61128028	0.8649377815
170	0.6118137249	0.8646225471
171	0.6119523559	0.864208427
172	0.6125138665	0.8640368314
173	0.6129998579	0.8634936137
174	0.6127302095	0.8625815798
175	0.6134984386	0.8624011228
176	0.6124036103	0.8618492851
177	0.6138653221	0.8614122179
178	0.6150237678	0.8609503046
179	0.6150991715	0.8606122331
180	0.6151454479	0.8603728403
181	0.6147877071	0.8599311545
182	0.6138950759	0.859049268
183	0.6145653936	0.858800268
184	0.6143299233	0.8583783122
185	0.614965474	0.8577726814
186	0.6155645378	0.8572122466
187	0.6161840865	0.8567216191
188	0.6150825499	0.8561727772
189	0.6145511893	0.8556626232
190	0.6173204068	0.8547208308
191	0.618091015	0.8541679412
192	0.6185831078	0.8534585053
193	0.6188833852	0.8532038083
194	0.6191356002	0.8527425445
195	0.6201088657	0.8514264437
196	0.6218133747	0.8509833759
197	0.6225399032	0.8495674066
198	0.6239086052	0.8489354459
199	0.6241720265	0.8479498913
200	0.6236740592	0.8470896371
201	0.6255350014	0.8467963096
202	0.6258519864	0.8458621303
203	0.6276984123	0.8451915853
204	0.6273118027	0.844266218
205	0.6290041636	0.8430601045
206	0.6293497503	0.842155903
207	0.6312622461	0.8409041738
208	0.6323983328	0.8399692865
209	0.6329401224	0.839058651
210	0.6344428291	0.8375374443
211	0.6360209655	0.8366877396
212	0.6352110105	0.8362080113
213	0.6345056171	0.835360479
214	0.6369200202	0.834083576
215	0.638301277	0.8331004828
216	0.6383200921	0.8315878329
217	0.6408822213	0.8305208248
218	0.6395253184	0.8289957069
219	0.642222695	0.8278252473
220	0.6453998067	0.8266296822
221	0.644066194	0.8257562984
222	0.6445174387	0.8248066499
223	0.6449304025	0.8238100462
224	0.6474477749	0.8221678381
225	0.6488517212	0.8210261259
226	0.6490629549	0.8199233646
227	0.6498174725	0.8180358406
228	0.6514395916	0.8165342463
229	0.6529679566	0.8150051189
230	0.6541177618	0.8135778442
231	0.6559435587	0.8122093373
232	0.6563861751	0.8106328683
233	0.6579046471	0.8095037626
234	0.6589250195	0.8085078859
235	0.6601610293	0.8068206524
236	0.6603572747	0.80557984
237	0.6610964157	0.8041195238
238	0.6615698834	0.8026220675
239	0.6630805323	0.8012649533
240	0.6630608961	0.8002190554
241	0.6644304007	0.7988027551
242	0.6655346247	0.7975445306
243	0.6672285111	0.796650094
244	0.6685955986	0.7955967487
245	0.6715845618	0.7939382682
246	0.6711705246	0.792518794
247	0.672203406	0.7912075271
248	0.6738316007	0.790140919
249	0.6742143631	0.7887532687
250	0.6755052996	0.7871896214
251	0.6766401	0.7858632463
252	0.6780912589	0.7845941919
253	0.680367745	0.7829211028
254	0.6803800076	0.7816779278
255	0.6814883425	0.7803475197
256	0.6819158275	0.7791148144
257	0.6830775406	0.7778441489
258	0.6844968085	0.7763751501
259	0.686985184	0.7750144416
260	0.687763038	0.7741230713
261	0.6878129773	0.7733098319
262	0.6885736942	0.7722825777
263	0.6901618371	0.7711375632
264	0.6913589638	0.7701972707
265	0.6932112168	0.7688950536
266	0.6942883733	0.7676883409
267	0.6957119442	0.7665437981
268	0.6964320832	0.7653612923
269	0.6974100891	0.7642025001
270	0.6966265602	0.7631992466
271	0.6985619242	0.7617819076
272	0.6990226738	0.7602377271
273	0.6996180318	0.7590107056
274	0.7012332552	0.7580311972
275	0.7013670417	0.7570951842
276	0.7012714484	0.7561311195
277	0.7025671902	0.7552062909
278	0.7025857297	0.7542839965
279	0.7039714807	0.7530958474
280	0.7046900111	0.7520378584
281	0.7067999195	0.750732919
282	0.7080139834	0.7497275252
283	0.7085564205	0.7485534675
284	0.7081211475	0.7475740687
285	0.7090797883	0.7461620203
286	0.71116295	0.7449862398
287	0.7126691665	0.7441615087
288	0.7124723415	0.7432973194
289	0.7152937507	0.7421251633
290	0.7169055912	0.7407799692
291	0.7168302881	0.7394995056
292	0.7184099374	0.7382016587
293	0.7205685457	0.7370321934
294	0.7215402359	0.7356193431
295	0.7227685916	0.7347892113
296	0.7232336341	0.733979707
297	0.7239019675	0.7332450047
298	0.7244003184	0.7318094312
299	0.7255481405	0.7310768867
300	0.7267135881	0.729567554
301	0.7274549023	0.7285619261
302	0.7290117855	0.7275144746
303	0.7287068427	0.7264226166
304	0.7287256339	0.7250878321
305	0.7300442173	0.7235333419
306	0.731488388	0.7228570151
307	0.7320238635	0.721950658
308	0.7328735716	0.721221168
309	0.7351255823	0.719892747
310	0.7351751796	0.7190780665
311	0.735988557	0.7183157508
312	0.7380909997	0.7172858557
313	0.7394585825	0.7161345923
314	0.7395978795	0.7154129277
315	0.7400520528	0.714415061
316	0.7399701892	0.7134280704
317	0.741159357	0.7126399761
318	0.7418047444	0.7113806659
319	0.7428449142	0.710181759
320	0.7437358329	0.7089343885
321	0.7448453864	0.7076135715
322	0.745122856	0.7066542759
323	0.746730565	0.7056562992
324	0.746775732	0.7048774749
325	0.7463695469	0.7041040354
326	0.7477516778	0.7029188245
327	0.7474427963	0.7021248072
328	0.748640394	0.7007968544
329	0.7491448014	0.7000208287
330	0.749765702	0.6991112027
331	0.7500958764	0.6982568816
332	0.7504983534	0.6975329796
333	0.7516197537	0.6965953029
334	0.7521954895	0.6957947486
335	0.7521467871	0.6946865471
336	0.7530683937	0.693785142
337	0.7530076106	0.692896893
338	0.7542857519	0.6917916666
339	0.75480926	0.6909183585
340	0.7556512727	0.6901765245
341	0.7565094171	0.6894359623
342	0.7579383034	0.6881857685
343	0.7574954279	0.6875941647
344	0.7575129174	0.6869172732
345	0.7581359936	0.6860830663
346	0.7590006854	0.6853627527
347	0.7594217533	0.6846995975
348	0.7604139462	0.6839402014
349	0.7628348144	0.6828371982
350	0.7627843455	0.6820197395
351	0.7634455101	0.6809529538
352	0.7642669647	0.6800901846
353	0.7648815648	0.6794460237
354	0.7657020775	0.6782524508
355	0.7670324192	0.6774171836
356	0.767227141	0.6768706655
357	0.767324243	0.6759234314
358	0.7687158821	0.6752053046
359	0.7694551542	0.6739958438
360	0.769748573	0.6729724996
361	0.7717878642	0.6721606328
362	0.7722284554	0.6713032072
363	0.7731791854	0.6703147093
364	0.7739796108	0.6694197065
365	0.7741104204	0.6687053549
366	0.7758052435	0.6676596335
367	0.7749968692	0.6669409067
368	0.7755178589	0.6658105007
369	0.7755715708	0.6652572798
370	0.7765390216	0.6645232026
371	0.7768706291	0.6634666484
372	0.7772067344	0.6625532369
373	0.7775515695	0.6615447629
374	0.7780178803	0.6604018701
375	0.7790282695	0.6594667926
376	0.7797455185	0.6588948588
377	0.7803156682	0.6581562603
378	0.7811028545	0.6571052039
379	0.782766273	0.6559144222
380	0.7834884038	0.6550538743
381	0.7840204228	0.6542348702
382	0.785093813	0.6535055527
383	0.7848421669	0.6529415263
384	0.7855996376	0.6520661936
385	0.7867831743	0.6507145885
386	0.7869065272	0.6501242236
387	0.7879220936	0.6492075043
388	0.7889548268	0.6486661123
389	0.7904413427	0.6474988444
390	0.7907457557	0.6468572736
391	0.7920810521	0.646265234
392	0.7928567009	0.6454957922
393	0.7934604621	0.6445874202
394	0.7946767317	0.6433444001
395	0.7957604326	0.6424574722
396	0.7960220958	0.6416037235
397	0.7964511656	0.6406977348
398	0.7974444651	0.6398369813
399	0.7987500728	0.6387347974
400	0.7990762613	0.6381701258
401	0.7993496441	0.637652386
402	0.8001577116	0.6366410492
403	0.8006574229	0.6355808566
404	0.8009067204	0.6346544201
405	0.8005388555	0.6339237835
406	0.8010887633	0.6331774829
407	0.8024450642	0.6323125177
408	0.8031488483	0.6316217515
409	0.8040425614	0.6308893711
410	0.8042723223	0.6299330339
411	0.8046212466	0.6293740621
412	0.8048583261	0.6283498458
413	0.8054847247	0.6275300776
414	0.8057367194	0.6264747705
415	0.8074010641	0.6257370179
416	0.8072419846	0.6251751599
417	0.80809996	0.6243218514
418	0.808793214	0.6236526594
419	0.8083702814	0.623202869
420	0.8092476125	0.6223940247
421	0.8101847255	0.6217230484
422	0.8107693237	0.6207506258
423	0.811696292	0.6198024141
424	0.8124067692	0.6188845337
425	0.8131829988	0.6183192687
426	0.8126812782	0.6172794166
427	0.8129362098	0.6165062451
428	0.8139070928	0.6156718593
429	0.8138560218	0.6150307434
430	0.8135813219	0.6146199879
431	0.8146824571	0.6137203623
432	0.8161133337	0.6128062366
433	0.816796503	0.6118983313
434	0.8167889445	0.6112727451
435	0.8177772074	0.6102705421
436	0.8174023216	0.6094885837
437	0.8177443004	0.6089154972
438	0.818382199	0.6082840173
439	0.8188597494	0.6076185487
440	0.8194330195	0.6068500321
441	0.820044651	0.6063547514
442	0.8208402319	0.6054461909
443	0.820631463	0.6050622041
444	0.8214493949	0.6039499021
445	0.8215672877	0.6037180201
446	0.8224034777	0.6029237612
447	0.8232042672	0.6022306509
448	0.8248165717	0.6015133192
449	0.8247513008	0.6010283728
450	0.8256169096	0.600154343
451	0.8253616461	0.5993030962
452	0.8246240329	0.5987441371
453	0.8252520605	0.5978921227
454	0.8262107413	0.5970558247
455	0.8258914182	0.5963015666
456	0.8267980137	0.5955917802
457	0.8267979946	0.5948593582
458	0.8267980409	0.594190096
459	0.8275972786	0.5929811248
460	0.827662598	0.5925149885
461	0.8279093119	0.5916745914
462	0.8284612909	0.5908165342
463	0.8293912287	0.5899995605
464	0.8301129496	0.5893905697
465	0.8302871069	0.5884910439
466	0.8313830627	0.5874450922
467	0.8315629534	0.5868741852
468	0.832362109	0.5861653748
469	0.8333726082	0.5854049502
470	0.8337456054	0.5845452894
471	0.8341061321	0.5838818731
472	0.8350788908	0.58297529
473	0.8356457156	0.5822008553
474	0.8354394819	0.5820235799
475	0.8364615631	0.5812787552
476	0.8365242576	0.5804115712
477	0.8366568131	0.5798658567
478	0.8369911402	0.579355207
479	0.8376313157	0.5787760613
480	0.8378633722	0.5784100416
481	0.8382645584	0.5776662471
482	0.8390117438	0.5769477808
483	0.8390542825	0.5763498159
484	0.840197739	0.5755437525
485	0.840417801	0.5748315002
486	0.8403446485	0.5742084295
487	0.8404828728	0.5737289819
488	0.8412694185	0.5728141176
489	0.8417092305	0.5719634205
490	0.8426735623	0.5709587721
491	0.8429958026	0.5702257792
492	0.8430745843	0.56943916
493	0.8436478726	0.5685850029
494	0.84388928	0.5679332386
495	0.8441094771	0.567363873
496	0.8445588539	0.5665946343
497	0.8448036286	0.5658256694
498	0.8448137903	0.5654317674
499	0.845344397	0.5647496785
