iter	Logloss
0	0.6298276681
1	0.5911546594
2	0.5635592562
3	0.536479833
4	0.4972300723
5	0.465088897
6	0.4465490417
7	0.4174033624
8	0.3959889374
9	0.3703808023
10	0.3550414381
11	0.3411375921
12	0.3293311399
13	0.3200427381
14	0.3159168022
15	0.2987527418
16	0.2922925413
17	0.2801638903
18	0.2706895047
19	0.2624698404
20	0.2489942343
21	0.2426126678
22	0.2348776037
23	0.2265396094
24	0.2161287512
25	0.2095095321
26	0.2012077366
27	0.198286879
28	0.189299478
29	0.1855790708
30	0.1792264891
31	0.1771030291
32	0.173499189
33	0.1717699263
34	0.1690404311
35	0.1653936059
36	0.1625345393
37	0.1532625345
38	0.1482426294
39	0.1451303538
40	0.1415998161
41	0.1373994503
42	0.135494552
43	0.1340448896
44	0.1326083713
45	0.1290335457
46	0.1248858311
47	0.1245001849
48	0.1225438116
49	0.1192806872
50	0.1143897891
51	0.1116724914
52	0.1091082356
53	0.1053249519
54	0.1020442145
55	0.1008518095
56	0.09863647927
57	0.09752544573
58	0.09638955612
59	0.09396935179
60	0.09345796061
61	0.09255337933
62	0.09039843231
63	0.08916123927
64	0.08697069994
65	0.08518114472
66	0.08386891871
67	0.08186268958
68	0.08123922654
69	0.08005172737
70	0.07869758064
71	0.07770189673
72	0.07694708041
73	0.07553397895
74	0.07433265366
75	0.07293751436
76	0.07222877505
77	0.07139021836
78	0.07072978748
79	0.07002162845
80	0.06848686737
81	0.06682956867
82	0.06630070889
83	0.06514510001
84	0.06419224441
85	0.06307594095
86	0.06237732919
87	0.06148609733
88	0.06075834195
89	0.05996569678
90	0.05881893384
91	0.05777310715
92	0.05646895875
93	0.05507276724
94	0.05346763523
95	0.05249700893
96	0.05108986903
97	0.05094825308
98	0.04993527972
99	0.04865373866
100	0.048276017
101	0.04799854737
102	0.04727003035
103	0.046220978
104	0.04516749237
105	0.0438512813
106	0.0428965295
107	0.0416834117
108	0.04065691569
109	0.03995684752
110	0.0399071812
111	0.03986950633
112	0.03978838714
113	0.03833899806
114	0.03830510071
115	0.03825236677
116	0.03821084311
117	0.03724132169
118	0.0366151464
119	0.0362318956
120	0.03618600815
121	0.03615126224
122	0.03611501414
123	0.03505884198
124	0.03385155845
125	0.03380864919
126	0.03331300529
127	0.03326962425
128	0.03323691902
129	0.03321573326
130	0.03319464085
131	0.03315862318
132	0.03312952901
133	0.0325320393
134	0.03196765038
135	0.03123471141
136	0.03056870306
137	0.02973133585
138	0.02919430608
139	0.02826100028
140	0.02761883069
141	0.02672932437
142	0.02625260354
143	0.02557824616
144	0.02516620869
145	0.0247694642
146	0.02420599621
147	0.02381851322
148	0.02345474294
149	0.02312240835
150	0.02270077033
151	0.02231528744
152	0.02203017583
153	0.02169673744
154	0.02111265017
155	0.02080743507
156	0.02056494712
157	0.02016153915
158	0.01981826449
159	0.01934562196
160	0.01921956816
161	0.01895036873
162	0.01869784757
163	0.01844304002
164	0.01811545023
165	0.01794343432
166	0.01762629395
167	0.01743059244
168	0.01710087765
169	0.0169295213
170	0.01673513809
171	0.01650472218
172	0.01625100226
173	0.01593485052
174	0.0157313217
175	0.01551179712
176	0.01546233973
177	0.01520870073
178	0.01512597507
179	0.01499040686
180	0.01491433553
181	0.01474928363
182	0.01470680156
183	0.01455344098
184	0.01454248738
185	0.01427776449
186	0.01427178984
187	0.01426197974
188	0.01425277258
189	0.01424483332
190	0.01423448527
191	0.01410470785
192	0.01392838269
193	0.01379776708
194	0.01365893414
195	0.01362095549
196	0.01345877268
197	0.01333500307
198	0.01332691686
199	0.0133197824
200	0.01331280307
201	0.01315703774
202	0.01295224899
203	0.01283205622
204	0.01265925693
205	0.01265300474
206	0.01249342918
207	0.0124617068
208	0.01227489927
209	0.01226847666
210	0.0121349361
211	0.01196387344
212	0.01186780389
213	0.01176574011
214	0.01163909463
215	0.01163353801
216	0.01162912799
217	0.01154554432
218	0.01143306095
219	0.01142788795
220	0.01129337849
221	0.01116685381
222	0.01116161985
223	0.01105029526
224	0.01094379791
225	0.01086981389
226	0.01078935196
227	0.01072592901
228	0.01059436923
229	0.01049835262
230	0.01042712118
231	0.01027499776
232	0.01027161476
233	0.0102686406
234	0.01012725305
235	0.01012728787
236	0.01012328861
237	0.01011908874
238	0.01011442042
239	0.01011028106
240	0.01010599584
241	0.01010214718
242	0.01009920621
243	0.01009516842
244	0.009964139322
245	0.009961288562
246	0.009957311302
247	0.009953335352
248	0.009949343023
249	0.009945580585
250	0.009942918328
251	0.009819587261
252	0.009815022933
253	0.009810653725
254	0.009806704058
255	0.009802692361
256	0.009799202953
257	0.009793674387
258	0.009728872841
259	0.009608698956
260	0.009605470504
261	0.00954414468
262	0.009494032461
263	0.009491509816
264	0.009488288583
265	0.009394728629
266	0.009392214071
267	0.009310874614
268	0.009204490704
269	0.009201433489
270	0.009124870426
271	0.009022054219
272	0.008963921531
273	0.008896213825
274	0.008810427502
275	0.008717382662
276	0.008667343281
277	0.008588585001
278	0.008498707012
279	0.008435086158
280	0.008362508706
281	0.008255714971
282	0.008207502166
283	0.008161948864
284	0.008115531939
285	0.008059538704
286	0.007980840735
287	0.007935762918
288	0.007851356767
289	0.007818609782
290	0.007816245241
291	0.007774255848
292	0.007772421644
293	0.00777057148
294	0.007715952646
295	0.007637438721
296	0.007635582377
297	0.007633963493
298	0.007632368857
299	0.007630885581
300	0.007628540925
301	0.007627950242
302	0.007625922654
303	0.007560589952
304	0.007514772283
305	0.007513263916
306	0.00745675608
307	0.007394482908
308	0.007353219562
309	0.007318322086
310	0.007279055824
311	0.007244968325
312	0.007241352365
313	0.007194280396
314	0.00712994592
315	0.007084905183
316	0.007081901277
317	0.007050622799
318	0.007017237018
319	0.00695709299
320	0.006924827564
321	0.006860921843
322	0.006829232413
323	0.006777278197
324	0.00677423138
325	0.006738758678
326	0.00673569359
327	0.006678972153
328	0.006647668949
329	0.006644517676
330	0.006641849911
331	0.00659874461
332	0.006565637978
333	0.006563423563
334	0.006506619326
335	0.006474178562
336	0.006471452587
337	0.006441950075
338	0.006440020619
339	0.006437298584
340	0.006408860278
341	0.006406446197
342	0.006383373901
343	0.006355642048
344	0.006310656264
345	0.006266581226
